id,match_id,team_id,scored,conceded,tries,cons,pens,drops
549,290467,24,68,3,,,,
550,290467,132,3,68,,,,
551,288133,42,15,61,,,,
552,288133,35,61,15,,,,
553,288139,35,45,24,,,,
554,288139,39,24,45,,,,
555,288131,39,31,40,,,,
556,288131,82,40,31,,,,
557,288421,11,25,0,1,1,2,0
558,290479,64,43,10,,,,
559,290479,100,10,43,,,,
560,288423,78,34,17,,,,
561,288277,25,18,20,0,0,2,0
562,288421,57,0,25,0,0,0,0
563,288423,77,17,34,,,,
564,288277,20,20,18,1,0,3,0
565,289289,10,0,27,0,0,0,0
566,281085,5,19,13,1,1,4,0
567,289289,9,27,0,3,2,2,0
568,281085,3,13,19,1,1,2,0
569,283445,23,16,21,1,1,2,0
570,283445,2,21,16,0,0,4,0
571,288137,42,27,34,,,,
572,288137,39,34,27,,,,
573,293869,31,14,56,,,,
574,293869,91,56,14,,,,
575,290617,39,10,48,,,,
576,290617,35,48,10,,,,
577,289255,26,41,15,,,,
578,289255,49,15,41,,,,
579,273133,74,24,13,,,,
580,273133,41,13,24,,,,
581,288409,69,23,5,,,,
582,288409,60,5,23,,,,
583,290395,117532,36,29,,,,
584,290395,134,29,36,,,,
585,288913,49,3,60,0,0,1,0
586,290577,84916,22,23,,,,
587,290577,130,23,22,,,,
588,288913,23,60,3,10,4,0,0
589,290575,84916,13,65,,,,
590,290575,133753,65,13,,,,
591,290381,114,14,3,,,,
592,290381,113,3,14,,,,
593,273129,89,10,28,,,,
594,273129,80,28,10,,,,
595,273043,84,36,17,,,,
596,273043,94,17,36,,,,
597,273127,31,23,25,,,,
598,273127,22,25,23,,,,
599,289249,36,40,20,,,,
600,289249,51,20,40,,,,
601,288915,23,59,17,8,2,1,0
602,289243,36,42,17,,,,
603,289243,17,17,42,,,,
604,289245,49,27,34,,,,
605,289245,26,34,27,,,,
606,273131,61,29,10,,,,
607,273131,86,10,29,,,,
608,288915,26,17,59,2,2,1,0
609,289943,53,21,32,,,,
610,289943,33,32,21,,,,
611,289941,29,39,14,5,2,2,0
612,288401,92,3,39,,,,
613,288401,78,39,3,,,,
614,289239,36,10,15,,,,
615,289941,28,14,39,2,2,0,0
616,289239,136,15,10,,,,
617,273121,86,38,23,,,,
618,273119,22,27,30,,,,
619,273119,84,30,27,,,,
620,273121,85,23,38,,,,
621,273123,68,28,24,,,,
622,273123,171355,24,28,,,,
623,289939,53,15,60,,,,
624,289939,29,60,15,,,,
625,288911,26,3,38,0,0,1,0
626,288911,23,38,3,6,2,0,0
627,255001,9,21,31,0,0,7,0
628,255001,1,31,21,3,2,4,0
629,254993,1,25,21,1,1,6,0
630,254993,4,21,25,3,3,0,0
631,273083,94,22,13,,,,
632,273083,22,13,22,,,,
633,254995,2,29,18,3,1,4,0
634,254995,9,18,29,2,1,2,0
635,273069,57,7,24,1,1,0,0
636,273069,81,24,7,3,2,1,0
637,273399,12,61,7,7,3,2,0
638,273399,7,7,61,1,1,0,0
639,288129,129,0,48,,,,
640,283439,28,13,64,1,1,2,0
641,273073,94,9,10,,,,
642,273073,21,10,9,,,,
643,283431,33,24,23,2,1,2,0
644,288129,60,48,0,,,,
645,283439,25,64,13,9,3,1,0
646,283431,11,23,24,3,1,2,0
647,254989,1,21,10,2,1,3,0
648,283435,28,20,23,1,0,2,0
649,254989,3,10,21,1,1,1,0
650,283435,29,23,20,2,2,2,0
651,273071,18,39,7,5,2,2,0
652,273071,27,7,39,1,1,0,0
653,273067,7,50,27,6,2,1,0
654,273063,81,38,7,6,2,0,0
655,273067,27,27,50,4,2,1,0
656,273063,18,7,38,1,1,0,0
657,273065,12,30,0,4,2,2,0
658,273065,57,0,30,0,0,0,0
659,283427,25,52,25,7,4,1,0
660,283427,33,25,52,3,2,2,0
661,254985,4,19,10,1,1,4,0
662,283429,29,21,24,2,1,2,0
663,283425,11,64,0,10,2,0,0
664,254985,9,10,19,1,1,1,0
665,283429,10,24,21,3,3,1,0
666,283425,28,0,64,0,0,0,0
667,273061,21,32,8,,,,
668,273061,22,8,32,,,,
669,283437,29,29,25,2,2,2,0
670,283437,11,25,29,3,2,2,0
671,254983,20,9,40,0,0,3,0
672,273055,27,3,29,0,0,1,0
673,254987,20,20,36,2,2,2,0
674,254987,2,36,20,3,3,5,0
675,254983,1,40,9,5,3,3,0
676,283419,11,30,22,3,2,2,0
677,254991,3,58,15,9,5,1,0
678,273057,18,18,21,2,1,2,0
679,273055,81,29,3,4,2,1,0
680,283419,25,22,30,1,1,2,0
681,254991,20,15,58,2,1,1,0
682,273057,12,21,18,2,1,2,0
683,273059,57,46,20,7,4,1,0
684,273059,7,20,46,2,2,2,0
685,283415,25,33,17,5,2,0,0
686,283415,29,17,33,3,1,0,0
687,254973,9,23,21,3,1,2,0
688,254973,20,21,23,2,1,2,1
689,273053,81,59,7,9,2,0,0
690,273053,7,7,59,1,1,0,0
691,283747,142722,16,6,,,,
692,283747,64,6,16,,,,
693,281431,26,12,31,,,,
694,281431,57,31,12,,,,
695,273041,61,30,24,,,,
696,273041,47,24,30,,,,
697,281411,40,24,10,,,,
698,281411,104,10,24,,,,
699,182003,1,60,3,10,5,0,0
700,273007,30,25,31,,,,
701,273007,85,31,25,,,,
702,182003,29,3,60,0,0,1,0
703,273003,41,15,16,,,,
704,273003,68,16,15,,,,
705,181989,4,23,13,2,2,3,0
706,181989,14,13,23,1,1,2,0
707,268229,12,16,21,1,1,2,0
708,268229,16,21,16,2,1,2,0
709,248941,9,19,16,1,1,4,0
710,248941,2,16,19,1,1,3,0
711,248677,1,21,13,2,1,3,0
712,272995,45,58,19,,,,
713,248677,3,13,21,1,1,2,0
714,252323,4,23,19,1,0,6,0
715,252323,20,19,23,2,0,2,1
716,272995,50,19,58,,,,
717,263333,2,48,7,6,3,4,0
718,256479,23,40,0,6,2,0,0
719,263333,20,7,48,1,1,0,0
720,264181,11,10,47,1,1,1,0
721,264181,6,47,10,7,6,0,0
722,256479,29,0,40,0,0,0,0
723,272991,45,36,22,,,,
724,263331,25,23,41,3,1,1,1
725,272991,272969,22,36,,,,
726,263331,11,41,23,5,2,2,0
727,249679,3,10,16,1,1,1,0
728,249679,4,16,10,1,1,3,0
729,263325,20,12,16,0,0,4,0
730,272987,45,32,10,,,,
731,256477,23,30,8,3,2,2,0
732,256477,29,8,30,1,0,1,0
733,263325,2,16,12,1,1,3,0
734,272987,55,10,32,,,,
735,244319,10,12,26,0,0,4,0
