id,player_id,team_id,match_id,time,action_type,extra_info
7889,15818,9,93502,50,pens,
7890,15676,6,93500,10,tries,
7891,85497,6,93504,12,cons,
7892,85497,6,93500,16,pens,
7893,85497,6,93504,53,pens,
7894,154041,12,302006,27,tries,
7895,15901,1,93499,54,tries,
7896,85497,6,93500,71,pens,
7897,85497,6,93504,56,pens,
7898,15222,12,302006,75,tries,
7899,14312,4,93502,58,tries,
7900,14268,1,93499,76,tries,
7901,15590,6,93504,67,drops,
7902,15222,12,302006,28,cons,
7903,15287,4,93502,7,pens,
7904,15966,3,93498,44,tries,
7905,12757,1,93499,55,cons,
7906,15222,12,302006,49,cons,
7907,13312,3,93498,45,cons,
7908,15222,12,302006,76,cons,
7909,13312,3,93498,23,pens,
7910,98620,5,93500,38,pens,
7911,15222,12,302006,1,pens,
7912,13120,3,93497,47,tries,
7913,98620,5,93500,55,pens,
7914,15222,12,302006,9,pens,
7915,15966,3,93497,51,tries,
7916,98620,5,93500,59,drops,
7917,27644,4,93504,80,tries,
7918,15966,3,93497,79,tries,
7919,15822,4,93496,5,tries,
7920,14073,9,93499,21,tries,
7921,12924,4,93504,80,cons,
7922,13312,3,93497,48,cons,
7923,15822,4,93496,50,tries,
7924,14312,4,93498,50,tries,
7925,27446,9,93499,30,tries,
7926,15287,4,93504,18,pens,
7927,13312,3,93497,52,cons,
7928,122371,4,93496,32,tries,
7929,27626,4,93498,63,tries,
7930,14095,9,93499,10,pens,
7931,12924,4,93504,69,pens,
7932,16004,3,93497,80,cons,
7933,27816,1,93493,77,tries,
7934,94300,4,93496,38,tries,
7935,82089,4,93498,3,cons,
7936,14095,9,93499,15,pens,
7937,13312,3,93497,6,pens,
7938,15414,1,93493,78,cons,
7939,81941,4,93496,59,tries,
7940,82089,4,93498,65,cons,
7941,15819,9,93499,72,drops,
7942,14073,9,93492,80,tries,
7943,97046,10,93494,31,tries,
7944,13312,3,93497,16,pens,
7945,12757,1,93493,33,pens,
7946,27644,4,93496,67,tries,
7947,27644,4,93498,27,pens,
7948,14095,9,93492,1,pens,
7949,13010,10,93494,68,tries,
7950,13312,3,93497,34,pens,
7951,12757,1,93493,62,pens,
7952,112291,4,93496,72,tries,
7953,14095,9,93492,23,pens,
7954,15792,10,93494,78,tries,
7955,13312,3,93497,42,pens,
7956,12757,1,93493,56,drops,
7957,27626,4,93496,80,tries,
7958,14095,9,93492,49,pens,
7959,13010,10,93494,69,cons,
7960,16004,3,93497,69,pens,
7961,82089,4,93496,6,cons,
7962,13774,15,93490,51,tries,
7963,15097,10,93494,79,cons,
7964,82089,4,93496,18,cons,
7965,15590,6,93491,6,tries,
7966,13010,10,93494,51,pens,
7967,82089,4,93496,33,cons,
7968,15590,6,93491,78,tries,
7969,14147,81,93489,56,tries,
7970,13010,10,93494,58,pens,
7971,82089,4,93496,39,cons,
7972,14282,16,93492,26,tries,
7973,14660,5,93490,8,tries,
7974,14686,6,93491,8,tries,
7975,14055,81,93489,56,cons,
7976,13952,20,93488,2,tries,
7977,13266,2,93493,8,pens,
7978,82089,4,93496,51,cons,
7979,106985,16,93492,28,cons,
7980,98620,5,93490,9,cons,
7981,14686,6,93491,48,tries,
7982,14055,81,93489,8,pens,
7983,14635,20,93488,29,tries,
7984,13266,2,93493,55,pens,
7985,12924,4,93496,59,cons,
7986,106985,16,93492,6,pens,
7987,15421,5,93490,24,pens,
7988,110286,6,93491,11,tries,
7989,14055,81,93489,23,pens,
7990,13946,20,93488,40,tries,
7991,14387,2,93493,16,pens,
7992,12924,4,93496,68,cons,
7993,106985,16,93492,35,pens,
7994,98620,5,93490,26,pens,
7995,15603,6,93491,15,tries,
7996,14055,81,93489,30,pens,
7997,14387,2,93493,40,drops,
7998,12924,4,93496,73,cons,
7999,106985,16,93492,66,pens,
8000,15338,25,93487,6,tries,
8001,106983,82,93486,52,tries,
8002,15603,6,93491,21,tries,
8003,14055,81,93489,34,pens,
8004,12924,4,93496,80,cons,
8005,106985,16,93492,72,pens,
8006,84813,25,93487,43,tries,
8007,141710,82,93486,53,cons,
8008,14887,6,93491,35,tries,
8009,14055,81,93489,70,pens,
8010,15978,81,93494,38,tries,
8011,82089,4,93496,20,pens,
8012,15308,25,93487,74,tries,
8013,15009,6,93491,38,tries,
8014,12670,81,93489,75,pens,
8015,12670,81,93494,39,cons,
8016,82145,3,93484,9,tries,
8017,14313,25,93487,7,cons,
8018,15677,6,93491,41,tries,
8019,14945,11,93488,17,tries,
8020,27724,3,93484,12,tries,
